site_brom.id,site.x,trt.name,mu.scalar,k.scalar,intended.mu,intended.k,temporal.block,maxvol,leaf.number,mean.diam,catchment.area,turbidity.initial,oxygen.percent.initial,oxygen.conc.initial,ph.initial,chlorophyll.initial,bacteria.per.ml..initial,amoeba.per.ml.initial,algae.per.ml.initial,ciliates.per.ml.initial,flagellates.per.ml.initial,rotifers.per.ml.initial,leafpack1.species1.mass.initial,leafpack2.species1.mass.initial,leafpack1.species2.mass.initial,leafpack2.species2.mass.initial,co2.final,methane.final,turbidity.final,oxygen.percent.final,oxygen.conc.final,ph.final,chlorophyll.final,bacteria.per.ml.final,amoeba.per.ml.final,algae.per.ml.final,ciliates.per.ml.final,flagellates.per.ml.final,rotifers.per.ml.final,leafpack1.species1.mass.final,leafpack2.species1.mass.final,leafpack1.species2.mass.final,leafpack2.species2.mass.final,water.volume.final,fpom.final,n15.bromeliad.final,final.bromeliad.percentn,final.bromeliad.percentc,site.y,species1,species2,decomp,sample_size_species
cardoso_DEC25,cardoso,mu0.6k0.5,0.6,0.5,4.53,0.1,b,990,33,82,NA,39.78,NA,NA,5.4,-4.53696,353175.52928509243,NA,NA,NA,NA,NA,219.5,218.29999999999998,NA,NA,NA,NA,328,NA,NA,4.666666666666667,100.6332,9840754.52053462,NA,NA,NA,NA,NA,166.8,168.8,NA,NA,697,396.0000000000007,2.929762928577384,0.5573545551045325,NA,cardoso,0.2334216460389194,NA,0.2334216460389194,1
cardoso_DEC03,cardoso,mu0.8k0.5,0.8,0.5,6.05,0.1,b,890,30,109,NA,35.86,NA,NA,5,-5.6569199999999995,288961.7966878029,NA,NA,NA,NA,NA,219.4,218.6,NA,NA,NA,NA,576.4,NA,NA,5,281.52,6244785.495086406,NA,NA,NA,NA,NA,174.2,168.7,NA,NA,611,297.91666666666646,7.465787878347285,0.6068457126981935,NA,cardoso,0.21714361132957644,NA,0.21714361132957644,1
cardoso_DEC12,cardoso,mu1k0.5,1,0.5,7.56,0.1,b,1200,33,87,NA,44.73,NA,NA,5.4,-2.74584,971232.7055340041,NA,NA,NA,NA,NA,222.8,198.8,NA,NA,NA,NA,206.5,NA,NA,4.766666666666667,40.7388,642137.3259728953,NA,NA,NA,NA,NA,168.5,128.6,NA,NA,547,417.9999999999997,0.7373038974964885,0.6396222560437387,NA,cardoso,0.2984175248980418,NA,0.2984175248980418,1
cardoso_DEC38,cardoso,mu0.6k1,0.6,1,4.53,0.19,b,1180,41,98,NA,43.82,NA,NA,5.5,-3.81684,850831.9569140861,NA,NA,NA,NA,NA,167.8,213.79999999999998,NA,NA,NA,NA,213,NA,NA,5,71.604,2600656.170190226,NA,NA,NA,NA,NA,127.8,160.6,NA,NA,609,775.0000000000006,0.03874989180263633,0.408764096456256,NA,cardoso,0.24360485276360228,NA,0.24360485276360228,1
cardoso_DEC08,cardoso,mu0.8k1,0.8,1,6.05,0.19,b,960,32,85,NA,40.38,NA,NA,5,-5.09796,321068.6629864476,NA,NA,NA,NA,NA,205.9,203,NA,NA,NA,NA,200.7,NA,NA,4.933333333333333,21.134399999999996,8936411.119789459,NA,NA,NA,NA,NA,158.6,161.8,NA,NA,392,549.9999999999997,6.155272293353109,0.46818394609394154,NA,cardoso,0.2163394158051759,NA,0.2163394158051759,1
cardoso_DEC49,cardoso,mu1.5k1,1.5,1,11.33,0.19,b,1080,35,94,NA,36.33,NA,NA,5.4,-3.24972,754511.358018152,NA,NA,NA,NA,NA,158.29999999999998,207.2,NA,NA,NA,NA,137.5,NA,NA,5.3999999999999995,25.2552,497656.4276289938,NA,NA,NA,NA,NA,119.7,163.70000000000002,NA,NA,480,395.99999999999983,4.130892603873226,0.6830723203312425,NA,cardoso,0.22689144676668355,NA,0.22689144676668355,1
cardoso_DEC13,cardoso,mu2k1,2,1,15.11,0.19,b,1180,33,78,NA,41.24,NA,NA,5.2,3.09672,537790.0105022999,NA,NA,NA,NA,NA,179.79999999999998,210.29999999999998,NA,NA,NA,NA,264.1,NA,NA,5.233333333333333,92.2284,7151804.468023121,NA,NA,NA,NA,NA,140.8,155.20000000000002,NA,NA,423,1171.739130434783,4.565231037564121,0.6323259129391573,NA,cardoso,0.23945716617555182,NA,0.23945716617555182,1
cardoso_DEC15,cardoso,mu3k2,3,2,22.67,0.39,b,852,25,85,NA,46.8,NA,NA,5,4.2942,1765877.6464254619,NA,NA,NA,NA,NA,268,207.5,NA,NA,NA,NA,84.99,NA,NA,4.966666666666667,10.85076,1613370.0315068993,NA,NA,NA,NA,NA,207.7,163,NA,NA,734,285.99999999999983,2.9823469508574174,0.6239442704291197,NA,cardoso,0.21972891566265063,NA,0.21972891566265063,1
cardoso_DEC43,cardoso,mu1k1,1,1,7.56,0.19,c,1055,31,88,NA,33.52,NA,NA,5.4,-2.64996,642137.3259728953,NA,NA,NA,NA,NA,205.7,185.6,NA,NA,NA,NA,185.5,NA,NA,5,42.7788,4928403.976841971,NA,NA,NA,NA,NA,152.2,141.1,NA,NA,543,417.9999999999997,0.962009479175574,0.5072645152842892,NA,cardoso,0.24992521855564684,NA,0.24992521855564684,1
cardoso_DEC16,cardoso,mu0.8k2,0.8,2,6.05,0.39,c,1065,33,72,NA,14.35,NA,NA,5.7,-3.9474,529763.2939276386,NA,NA,NA,NA,NA,194.5,254.7,NA,NA,NA,NA,134.3,NA,NA,4.633333333333334,16.415879999999998,3491621.709977618,NA,NA,NA,NA,NA,146.2,197.2,NA,NA,584,549.9999999999999,-3.5244875359426997,0.4757869912645549,NA,cardoso,0.2370424199850018,NA,0.2370424199850018,1
